typing_speed,average_key_hold_time,average_flight_time,total_typing_duration,straightness,speed_cv,idle_ratio,direction_change_rate,Output
,,,,,,,,
1.344701186,13.4000858,3.20890097,3.84076631,0.056133051,0.032100694,0.00207669,0.027845969,0.2
1.790435302,6.2962774,16.49831302,4.71749047,0.081230781,0.031094857,0.019858701,0.091738659,0.2
0.19011352,20.9676689,2.73233112,0.33391398,0.304783283,0.09827552,0.056257142,0.025731045,0.2
2.891599905,12.6183418,24.84968944,9.57876037,0.128247272,0.04045221,0.009691837,0.310673318,0.4
0.648855682,6.7443337,37.91204703,3.45303616,0.019716127,0.086865761,0.091264794,0.30452422,0.4
1.43001991,6.5973853,18.25309245,4.52494192,0.15111613,0.000524984,0.003043815,0.154872161,0.2
0.444082995,20.8984141,15.2510478,1.10939576,0.303400988,0.039386208,0.103810523,0.041824933,0.3
0.299441434,22.6217926,34.49572815,0.76976921,0.133072376,0.065385795,0.061998544,0.123325533,0.4
0.83624277,7.5481112,8.44662815,2.42798486,0.101002776,0.100215374,0.055866379,0.059944452,0.1
1.732441903,32.27311384,28.35326345,4.2633171,0.07603688,0.040234389,0.023944521,0.205170572,0.5
0.10160604,53.54235754,45.62587248,0.17946345,0.185324369,0.00525708,0.102594221,0.234531103,0.7
0.711761237,38.8609907,16.77578207,1.45900193,0.006790929,0.021524737,0.007029221,0.005876243,0.4
1.061210509,23.08701196,10.03490226,2.051256629,0.053981715,0.051793811,0.154298447,0.071636265,0.3
0.659731865,12.20103267,24.00622383,1.181582909,0.086858318,0.077593726,0.066143045,0.091459983,0.3
1.326801805,0.47997098,21.46381534,3.51635905,0.155396038,0.014199787,0.038540572,0.011175437,0.2
1.228043247,21.46436961,2.81071289,3.31449303,0.006424857,0.081088,0.02573499,0.200531013,0.2
1.327633385,6.5204765,9.48325561,3.67159443,0.168815087,0.02705846,0.021174981,0.253715482,0.2
1.837332902,1.2596293,18.63225833,4.64060693,0.067854995,0.064426513,0.034006575,0.257569315,0.2
0.928376212,19.1306787,1.57871208,1.91425903,0.242336758,0.016308314,0.103699226,0.122966962,0.2
0.134936453,5.5965321,6.92884241,0.3396723,0.081933646,0.009509724,0.083008167,0.006936466,0.1
